id,file,periods,jan_lo,jan_hi,jul_lo,jul_hi,annual_min,annual_max,amplitude,seasonless,max_diurnal,mud,sandstorm,snow_months
42,42-Bay of Biscay.txt,12,-7.0,3.0,6.0,15.0,-7.0,15.0,12.5,,10.0,[1.0],,0
43,43-Western Approaches.txt,12,-15.0,2.0,5.0,15.0,-15.0,15.0,16.5,,17.0,[1.0],,0
44,44-Denmark Strait.txt,12,-15.0,2.0,5.0,15.0,-15.0,15.0,16.5,,17.0,[1.0],,0
45,45-Norwegian Sea.txt,12,-15.0,2.0,5.0,15.0,-15.0,15.0,16.5,,17.0,[1.0],,0
46,46-Barents Sea.txt,12,-10.0,2.0,-10.0,2.0,-10.0,2.0,0.0,YES,12.0,[1.0],,0
47,47-Spanish Coast.txt,12,-15.0,2.0,5.0,15.0,-15.0,15.0,16.5,,17.0,[1.0],,0
48,48-African Coast.txt,12,-15.0,2.0,5.0,15.0,-15.0,15.0,16.5,,17.0,[1.0],,0
49,49-Mid Atlantic 1.txt,12,-15.0,2.0,5.0,15.0,-15.0,15.0,16.5,,17.0,[1.0],,0
50,50-Labrador Sea.txt,12,-15.0,2.0,5.0,15.0,-15.0,15.0,16.5,,17.0,[1.0],,0
51,51-Mid atlantic 2.txt,12,-15.0,2.0,5.0,15.0,-15.0,15.0,16.5,,17.0,[1.0],,0
52,52-Gulf of Mexico.txt,12,10.0,30.0,10.0,30.0,10.0,30.0,0.0,YES,20.0,[1.0],,0
53,53-Caribbean.txt,12,10.0,30.0,10.0,30.0,10.0,30.0,0.0,YES,20.0,[1.0],,0
54,54-Eastern Seaboard.txt,12,-15.0,2.0,5.0,15.0,-15.0,15.0,16.5,,17.0,[1.0],,0
55,55-Newfoundland Sea.txt,12,-15.0,2.0,5.0,15.0,-15.0,15.0,16.5,,17.0,[1.0],,0
56,56-Mid Atlandtic 3.txt,12,-15.0,2.0,5.0,15.0,-15.0,15.0,16.5,,17.0,[1.0],,0
57,57-Mid Atlantic 4.txt,12,-15.0,2.0,5.0,15.0,-15.0,15.0,16.5,,17.0,[1.0],,0
58,58-Mid Atlantic 5.txt,12,-15.0,2.0,5.0,15.0,-15.0,15.0,16.5,,17.0,[1.0],,0
59,59-Mid Atlantic 6.txt,12,-15.0,2.0,5.0,15.0,-15.0,15.0,16.5,,17.0,[1.0],,0
60,60-West Indian Ocean.txt,12,5.0,30.0,5.0,30.0,5.0,30.0,0.0,YES,25.0,[1.0],,0
61,61-Central Atlantic.txt,12,5.0,15.0,5.0,15.0,5.0,15.0,0.0,YES,10.0,[1.0],,0
62,62-Cape Approach.txt,12,5.0,15.0,5.0,15.0,5.0,15.0,0.0,YES,10.0,[1.0],,0
63,63-Argintine Coast.txt,12,2.0,8.0,2.0,8.0,2.0,8.0,0.0,YES,6.0,[1.0],,0
64,64-Super Southern atlantic 1.txt,12,2.0,8.0,2.0,8.0,2.0,8.0,0.0,YES,6.0,[1.0],,0
65,65-Cape of Africa.txt,12,2.0,8.0,2.0,8.0,2.0,8.0,0.0,YES,6.0,[1.0],,0
66,66-South central atlantic 1.txt,12,5.0,15.0,5.0,15.0,5.0,15.0,0.0,YES,10.0,[1.0],,0
67,67-Super south atlantic 2.txt,12,2.0,8.0,2.0,8.0,2.0,8.0,0.0,YES,6.0,[1.0],,0
68,68-Western Mediterranean Sea.txt,12,12.0,30.0,12.0,30.0,12.0,30.0,0.0,YES,18.0,[1.0],,0
69,69-Eastern mediterranean Sea.txt,12,12.0,30.0,12.0,30.0,12.0,30.0,0.0,YES,18.0,[1.0],,0
70,70-Caspian Sea.txt,12,12.0,30.0,12.0,30.0,12.0,30.0,0.0,YES,18.0,[1.0],,0
71,71-East Indian Ocean.txt,12,5.0,30.0,5.0,30.0,5.0,30.0,0.0,YES,25.0,[1.0],,0
72,72-Straits of Malacca.txt,12,11.0,28.0,11.0,28.0,11.0,28.0,0.0,YES,17.0,[1.0],,0
73,73-Gulf of Thailand.txt,12,11.0,28.0,11.0,28.0,11.0,28.0,0.0,YES,17.0,[1.0],,0
74,74-South East Indian Ocean.txt,12,5.0,30.0,5.0,30.0,5.0,30.0,0.0,YES,25.0,[1.0],,0
75,75-South China Sea.txt,12,11.0,28.0,11.0,28.0,11.0,28.0,0.0,YES,17.0,[1.0],,0
76,76-East China Sea.txt,12,11.0,28.0,11.0,28.0,11.0,28.0,0.0,YES,17.0,[1.0],,0
77,77-Yellow Sea.txt,12,11.0,28.0,11.0,28.0,11.0,28.0,0.0,YES,17.0,[1.0],,0
78,78-Philippine Sea.txt,12,11.0,28.0,11.0,28.0,11.0,28.0,0.0,YES,17.0,[1.0],,0
79,79-Sea of Japan.txt,12,11.0,28.0,11.0,28.0,11.0,28.0,0.0,YES,17.0,[1.0],,0
80,80-Celebes Sea.txt,12,11.0,28.0,11.0,28.0,11.0,28.0,0.0,YES,17.0,[1.0],,0
81,81-Coral Sea.txt,12,10.0,30.0,10.0,30.0,10.0,30.0,0.0,YES,20.0,[1.0],,0
82,82-Gulf of Carpentaria.txt,12,10.0,30.0,10.0,30.0,10.0,30.0,0.0,YES,20.0,[1.0],,0
83,83-Soloman Sea.txt,12,5.0,30.0,5.0,30.0,5.0,30.0,0.0,YES,25.0,[1.0],,0
84,84-Bismarck Sea.txt,12,11.0,28.0,11.0,28.0,11.0,28.0,0.0,YES,17.0,[1.0],,0
85,85-South West Indian Ocean.txt,12,5.0,30.0,5.0,30.0,5.0,30.0,0.0,YES,25.0,[1.0],,0
86,86-Tasman Sea.txt,12,5.0,30.0,5.0,30.0,5.0,30.0,0.0,YES,25.0,[1.0],,0
87,87-Sea of Okhotsk.txt,12,-10.0,35.0,-10.0,35.0,-10.0,35.0,0.0,YES,45.0,[1.0],,0
88,88-Bering Sea.txt,12,-20.0,0.0,-20.0,0.0,-20.0,0.0,0.0,YES,20.0,[1.0],,0
89,89-Western Seaboard.txt,12,5.0,30.0,5.0,30.0,5.0,30.0,0.0,YES,25.0,[1.0],,0
90,90-Coast of Japan.txt,12,-10.0,35.0,-10.0,35.0,-10.0,35.0,0.0,YES,45.0,[1.0],,0
91,91-Arafura Sea.txt,12,10.0,30.0,10.0,30.0,10.0,30.0,0.0,YES,20.0,[1.0],,0
92,92-Timor Sea.txt,12,10.0,30.0,10.0,30.0,10.0,30.0,0.0,YES,20.0,[1.0],,0
93,93-Banda Sea.txt,12,11.0,28.0,11.0,28.0,11.0,28.0,0.0,YES,17.0,[1.0],,0
94,94-Western Pacific.txt,12,5.0,30.0,5.0,30.0,5.0,30.0,0.0,YES,25.0,[1.0],,0
95,95-Western pacific 2.txt,12,5.0,30.0,5.0,30.0,5.0,30.0,0.0,YES,25.0,[1.0],,0
96,96-North West Pacific.txt,12,-1.0,5.0,-1.0,5.0,-1.0,5.0,0.0,YES,6.0,[1.0],,0
97,97-South West Pacific.txt,12,5.0,30.0,5.0,30.0,5.0,30.0,0.0,YES,25.0,[1.0],,0
98,98-Great Austrialian Blight.txt,12,5.0,30.0,5.0,30.0,5.0,30.0,0.0,YES,25.0,[1.0],,0
99,99-Far Eastern Indian Ocean.txt,12,5.0,30.0,5.0,30.0,5.0,30.0,0.0,YES,25.0,[1.0],,0
100,100-Red Sea.txt,12,5.0,30.0,5.0,30.0,5.0,30.0,0.0,YES,25.0,[1.0],,0
101,101-Bay of Bengal.txt,12,5.0,30.0,5.0,30.0,5.0,30.0,0.0,YES,25.0,[1.0],,0
102,102-East African Coast.txt,12,5.0,30.0,5.0,30.0,5.0,30.0,0.0,YES,25.0,[1.0],,0
103,103-Mozambique Channel.txt,12,5.0,30.0,5.0,30.0,5.0,30.0,0.0,YES,25.0,[1.0],,0
104,104-Arabian Sea.txt,12,5.0,30.0,5.0,30.0,5.0,30.0,0.0,YES,25.0,[1.0],,0
105,105-Eastern Pacific 1.txt,12,5.0,30.0,5.0,30.0,5.0,30.0,0.0,YES,25.0,[1.0],,0
106,106-Mexican Coast.txt,12,5.0,30.0,5.0,30.0,5.0,30.0,0.0,YES,25.0,[1.0],,0
107,107-Western Canal zone.txt,12,5.0,30.0,5.0,30.0,5.0,30.0,0.0,YES,25.0,[1.0],,0
108,108-South American coast.txt,12,2.0,8.0,2.0,8.0,2.0,8.0,0.0,YES,6.0,[1.0],,0
109,109-Peruivan Coast.txt,12,5.0,30.0,5.0,30.0,5.0,30.0,0.0,YES,25.0,[1.0],,0
110,110-East Pacific 2.txt,12,5.0,30.0,5.0,30.0,5.0,30.0,0.0,YES,25.0,[1.0],,0
111,111-East Pacific 3.txt,12,5.0,30.0,5.0,30.0,5.0,30.0,0.0,YES,25.0,[1.0],,0
112,112-Far South Pacific.txt,12,5.0,30.0,5.0,30.0,5.0,30.0,0.0,YES,25.0,[1.0],,0
113,113-South Pacific.txt,12,5.0,30.0,5.0,30.0,5.0,30.0,0.0,YES,25.0,[1.0],,0
114,114-North Pacific.txt,12,-20.0,0.0,-20.0,0.0,-20.0,0.0,0.0,YES,20.0,[1.0],,0
115,115-North East Pacific.txt,12,-1.0,5.0,-1.0,5.0,-1.0,5.0,0.0,YES,6.0,[1.0],,0
116,116-Iran.txt,12,4.0,6.0,27.0,30.0,4.0,30.0,23.5,,4.0,[1.0],,3
117,117-East Coast.txt,12,-9.0,15.0,18.0,33.0,-9.0,33.0,22.5,,24.0,[1.0],,4
118,118-West Coast.txt,12,-17.0,10.0,13.0,28.0,-17.0,28.0,24.0,,27.0,[1.0],,4
119,119-South West.txt,12,-3.0,18.0,21.0,36.0,-3.0,36.0,21.5,,21.0,[1.0],,5
120,120-Central USA.txt,12,-3.0,8.0,22.0,34.0,-3.0,34.0,25.5,,12.0,[1.0],,6
121,121-Eastern Canada.txt,12,-36.0,-11.0,6.0,20.0,-36.0,20.0,36.5,,27.0,[0.0],,12
122,122-Western Canada.txt,12,-30.0,-4.0,2.0,17.0,-30.0,17.0,26.5,,27.0,[0.3],,8
123,123-Mexico.txt,12,5.0,20.0,11.0,24.0,5.0,26.0,6.5,,15.0,[1.0],,0
124,124-Northern South America.txt,12,26.0,28.0,27.0,29.0,26.0,30.0,1.0,,4.0,[1.0],,0
125,125-Brazil.txt,12,20.0,30.0,10.0,20.0,10.0,30.0,10.0,,11.0,[1.0],,0
126,126-North Africa.txt,12,-2.0,15.0,16.0,31.0,-2.0,31.0,17.5,,17.0,[1.0],YES,0
127,127-Saharadesert.txt,12,17.0,30.0,16.0,29.0,16.0,33.0,4.5,,13.0,[1.0],,0
128,128-Egypt.txt,12,5.0,19.0,21.0,34.0,5.0,35.0,16.0,,17.0,[1.0],YES,0
129,129-Asia minor.txt,12,-11.0,8.0,14.0,28.0,-11.0,28.0,22.5,,22.0,[1.0],,6
130,130-Ukraine.txt,12,-21.0,6.0,13.0,30.0,-21.0,30.0,29.0,,27.0,[1.6],,7
131,131-Belarus.txt,12,-22.0,3.0,10.0,27.0,-22.0,27.0,28.0,,26.0,[1.6],,7
132,132-Northern Front.txt,12,-25.0,1.0,8.0,25.0,-25.0,25.0,28.5,,28.0,[1.5],,7
133,133-Central Russia.txt,12,-26.0,1.0,10.0,29.0,-26.0,29.0,32.0,,28.0,[1.6],,9
134,134-Caucasus Region.txt,12,-19.0,7.0,16.0,32.0,-19.0,32.0,30.0,,26.0,[1.0],,3
135,135-Taman Region.txt,12,-19.0,7.0,16.0,32.0,-19.0,32.0,30.0,,26.0,[1.0],,3
136,136-Great Steppe.txt,12,-22.0,2.0,19.0,34.0,-23.0,34.0,36.5,,28.0,[1.3],,7
137,137-Western Steppe.txt,12,-26.0,0.0,15.0,34.0,-30.0,34.0,39.0,,31.0,[2.0],,9
138,138-Ural Region.txt,12,-30.0,-6.0,10.0,28.0,-32.0,28.0,37.5,,27.0,"[0.0, 1.0]",,7
139,139-South Africa.txt,12,17.0,32.0,3.0,17.0,3.0,32.0,14.5,,15.0,[1.0],,0
140,140-Sub-Sarhan Africa.txt,12,5.0,19.0,18.0,32.0,5.0,33.0,13.5,,16.0,[1.0],YES,0
141,141-East India.txt,12,18.0,20.0,28.0,30.0,18.0,32.0,11.0,,4.0,[0.5],,0
142,142-South East Asia.txt,12,16.0,32.0,20.0,33.0,16.0,36.0,5.5,,16.0,[0.5],,0
143,143-Eastern China.txt,12,2.0,8.0,29.0,32.0,2.0,33.0,25.5,,9.0,[1.0],,4
144,144-Western China.txt,12,-18.0,-1.0,14.0,28.0,-18.0,28.0,30.5,,19.0,[1.0],,5
145,145-Central Asia.txt,12,-25.0,-5.0,11.0,26.0,-28.0,26.0,33.5,,26.0,[1.0],,5
146,146-Himalayas.txt,12,-22.0,-7.0,2.0,15.0,-22.0,15.0,23.0,,15.0,[0.0],,4
147,147-Siberian Region.txt,12,-30.0,-25.0,10.0,17.0,-32.0,17.0,42.5,,10.0,[0.5],,10
148,148-Russian Far East.txt,12,-42.0,-20.0,8.0,24.0,-42.0,24.0,47.0,,22.0,[0.5],,7
149,149-Eastern Siberia.txt,12,-55.0,-31.0,10.0,26.0,-55.0,26.0,61.0,,25.0,[0.5],,10
150,150-Artic Russia.txt,12,-31.0,-3.0,6.0,25.0,-31.0,25.0,32.5,,30.0,[0.3],,7
151,151-Western Siberia.txt,12,-37.0,-8.0,10.0,26.0,-37.0,26.0,40.5,,29.0,[0.7],,9
152,152-Central Steppe.txt,12,-30.0,-9.0,9.0,24.0,-30.0,24.0,36.0,,23.0,[1.0],,5
153,153-Northern India.txt,12,10.0,24.0,23.0,37.0,10.0,42.0,17.5,,16.0,[1.0],,3
154,154-Home Islands.txt,12,-7.0,9.0,15.0,32.0,-7.0,32.0,24.0,,17.0,[1.0],,4
155,155-Manchuria.txt,12,-25.0,-6.0,16.0,31.0,-25.0,31.0,39.0,,21.0,[1.0],,7
156,156-Austrialia.txt,12,22.0,26.0,10.0,14.0,10.0,26.0,12.0,,4.0,[1.0],,0
157,157-New Nealand.txt,12,18.0,28.0,7.0,17.0,7.0,28.0,11.0,,11.0,[1.0],,0
158,158-Guinea.txt,12,17.0,32.0,17.0,31.0,17.0,33.0,1.5,,15.0,[1.0],,0
159,159-Borneo.txt,12,17.0,32.0,19.0,32.0,17.0,33.0,2.0,,15.0,[1.0],,0
160,160-Philippines.txt,12,19.0,32.0,21.0,33.0,19.0,34.0,2.0,,14.0,[1.0],,0
161,161-Iceland.txt,12,-10.0,8.0,4.0,17.0,-10.0,17.0,11.5,,20.0,"[0.7, 0.75]",,7
162,162-Afghanistan Area.txt,12,-17.0,1.0,10.0,23.0,-17.0,23.0,24.5,,18.0,[1.0],YES,4
163,163-Amazonian Brazil.txt,12,26.0,28.0,27.0,29.0,26.0,30.0,1.0,,4.0,[1.0],,0
164,164-South East China.txt,12,-5.0,12.0,21.0,36.0,-5.0,36.0,25.5,,17.0,"[1.0, 1.05]",,0
165,165-South West China.txt,12,0.0,17.0,21.0,34.0,0.0,34.0,19.0,,19.0,[0.5],,0
166,166-Hudson Bay.txt,12,-10.0,35.0,-10.0,35.0,-10.0,35.0,0.0,YES,45.0,[1.0],,0
167,167-New Guinea.txt,12,17.0,32.0,17.0,31.0,17.0,33.0,1.5,,15.0,[1.0],,0
168,168-Adriatic Sea.txt,12,12.0,30.0,12.0,30.0,12.0,30.0,0.0,YES,18.0,[1.0],,0
169,169-Tyrrhenian Sea.txt,12,12.0,30.0,12.0,30.0,12.0,30.0,0.0,YES,18.0,[1.0],,0
170,170-Florida Coast.txt,12,-15.0,2.0,5.0,15.0,-15.0,15.0,16.5,,17.0,[1.0],,0
171,171-Northwest Coast.txt,12,5.0,30.0,5.0,30.0,5.0,30.0,0.0,YES,25.0,[1.0],,0
172,172-South Central Pacific.txt,12,5.0,30.0,5.0,30.0,5.0,30.0,0.0,YES,25.0,[1.0],,0
173,173-Eastern North Sea.txt,12,-15.0,2.0,5.0,15.0,-15.0,15.0,16.5,,17.0,[1.0],,0
174,174-Norwegian Coast.txt,12,-15.0,2.0,5.0,15.0,-15.0,15.0,16.5,,17.0,[1.0],,0
175,175-Southeastern Central Pacific.txt,12,5.0,30.0,5.0,30.0,5.0,30.0,0.0,YES,25.0,[1.0],,0
176,176-Central North Pacific.txt,12,-1.0,5.0,-1.0,5.0,-1.0,5.0,0.0,YES,6.0,[1.0],,0
177,177-Western North Pacific.txt,12,-1.0,5.0,-1.0,5.0,-1.0,5.0,0.0,YES,6.0,[1.0],,0
178,178-West Polynesia.txt,12,5.0,30.0,5.0,30.0,5.0,30.0,0.0,YES,25.0,[1.0],,0
179,179-French Polynesia.txt,12,5.0,30.0,5.0,30.0,5.0,30.0,0.0,YES,25.0,[1.0],,0
180,180-Micronesian Gap.txt,12,5.0,30.0,5.0,30.0,5.0,30.0,0.0,YES,25.0,[1.0],,0
181,181-Madgascar.txt,12,25.0,30.0,26.0,28.0,24.0,30.0,2.5,,5.0,[1.0],,0
182,182-North West Africa.txt,12,5.0,19.0,18.0,32.0,5.0,33.0,13.5,,16.0,[1.0],YES,0
183,183-Central Africa.txt,12,13.0,24.0,28.0,35.0,13.0,40.0,15.0,,15.0,[1.0],YES,0
184,184-South West Africa.txt,12,19.0,34.0,19.0,33.0,19.0,40.0,7.0,,17.0,[1.0],YES,0
185,185-South East Africa.txt,12,18.0,31.0,7.0,22.0,7.0,32.0,10.0,,15.0,[1.0],,0
186,186-Korea.txt,12,-14.0,4.0,16.0,32.0,-14.0,32.0,29.5,,19.0,[1.0],,7
187,187-Sumatra.txt,12,20.0,33.0,20.0,33.0,20.0,34.0,1.5,,14.0,[1.0],,0
188,188-Malaya.txt,12,18.0,33.0,20.0,32.0,18.0,33.0,1.0,,15.0,[0.5],,0
189,189-Burma.txt,12,15.0,29.0,21.0,33.0,15.0,36.0,7.5,,15.0,[0.5],,0
190,190-Pakistan.txt,12,8.0,23.0,27.0,41.0,8.0,43.0,21.0,,17.0,[1.0],,3
191,191-Northern Norway.txt,12,-22.0,0.0,2.0,18.0,-23.0,18.0,21.5,,24.0,[0.2],,6
192,192-Northern Sweden.txt,12,-28.0,-1.0,5.0,21.0,-28.0,21.0,27.5,,27.0,[0.3],,7
193,193-Northern Australia.txt,12,27.0,28.0,28.0,29.0,26.0,31.0,4.0,,2.0,[0.5],,0
194,194-Eastern Australia.txt,12,5.0,21.0,23.0,38.0,5.0,38.0,18.0,,17.0,[1.0],YES,0
195,195-Central Australia.txt,12,20.0,35.0,20.0,35.0,20.0,35.0,0.0,YES,15.0,[1.0],YES,0
196,196-Arabian Coast.txt,12,11.0,26.0,18.0,31.0,11.0,34.0,8.5,,15.0,[1.0],YES,0
197,197-New England.txt,12,-14.0,5.0,14.0,29.0,-17.0,29.0,27.5,,22.0,[1.0],,4
198,198-Midwest.txt,12,-20.0,5.0,16.0,35.0,-20.0,35.0,33.0,,28.0,[1.0],,6
199,199-Rocky Mountains.txt,12,-23.0,5.0,11.0,28.0,-23.0,28.0,28.5,,28.0,[1.0],,8
200,200-Qinghai.txt,12,-19.0,-5.0,0.0,15.0,-19.0,15.0,19.5,,16.0,[1.0],,5
201,201-Northern Andes.txt,12,20.0,30.0,10.0,20.0,10.0,30.0,10.0,,11.0,[1.0],,0
202,202-Southern Germany.txt,12,-13.0,8.0,10.0,26.0,-13.0,26.0,20.5,,22.0,[1.0],,7
203,203-Cyprus.txt,12,-11.0,8.0,14.0,28.0,-11.0,28.0,22.5,,22.0,[1.0],,6
204,204-South East.txt,12,-1.0,23.0,21.0,35.0,-1.0,35.0,17.0,,24.0,[1.0],,4
205,205-Northern Canada.txt,12,-44.0,-16.0,6.0,20.0,-44.0,20.0,43.0,,29.0,[0.0],,12
206,206-Canadian Shield.txt,12,-27.0,-5.0,8.0,23.0,-27.0,23.0,31.5,,23.0,[0.3],,8
207,207-South Arabia.txt,12,11.0,26.0,18.0,31.0,11.0,34.0,8.5,,15.0,[1.0],YES,0
208,208-Portugal.txt,12,0.0,17.0,19.0,33.0,0.0,34.0,18.5,,17.0,[1.0],,3
209,209-Western India.txt,12,10.0,24.0,23.0,37.0,10.0,42.0,17.5,,16.0,[1.0],,3
210,210-Silesia.txt,12,-17.0,8.0,11.0,26.0,-17.0,26.0,23.0,,25.0,[1.0],,4
211,211-Slovakia.txt,12,-16.0,7.0,11.0,25.0,-16.0,26.0,22.5,,23.0,[1.0],,7
212,212-Austria.txt,12,-17.0,3.0,3.0,19.0,-18.0,19.0,18.5,,21.0,[0.0],,4
213,213-Ivory Coast.txt,12,19.0,33.0,18.0,31.0,18.0,37.0,5.0,,15.0,[1.0],,0
214,214-Northern Italy.txt,12,-17.0,3.0,3.0,19.0,-18.0,19.0,18.5,,21.0,[0.0],,4
215,215-Western Yugoslavia.txt,12,-15.0,8.0,11.0,26.0,-15.0,27.0,22.0,,23.0,[1.0],,6
216,216-Transylvania.txt,12,-15.0,9.0,14.0,29.0,-15.0,29.0,24.5,,24.0,[0.8],,7
217,217-Bessarabia.txt,12,-14.0,10.0,16.0,30.0,-14.0,31.0,25.0,,24.0,[1.0],,6
218,218-Romania.txt,12,-14.0,10.0,16.0,30.0,-14.0,31.0,25.0,,24.0,[1.0],,6
219,219-Mesopotamia.txt,12,0.0,17.0,27.0,41.0,0.0,41.0,25.5,,18.0,[1.0],YES,0
220,220-Tripolitania.txt,12,6.0,22.0,19.0,32.0,6.0,34.0,12.5,,16.0,[1.0],YES,0
221,221-Transcaucasia.txt,12,-14.0,7.0,15.0,29.0,-14.0,30.0,26.0,,21.0,[1.0],YES,3
222,222-Marmara.txt,12,-11.0,8.0,14.0,28.0,-11.0,28.0,22.5,,22.0,[1.0],,6
223,223-Black Sea Anatolia.txt,12,-11.0,8.0,14.0,28.0,-11.0,28.0,22.5,,22.0,[1.0],,6
224,224-Mediterranean Anatolia.txt,12,-11.0,8.0,14.0,28.0,-11.0,28.0,22.5,,22.0,[1.0],,6
225,225-Inner Mongolia.txt,12,-30.0,-9.0,9.0,24.0,-30.0,24.0,36.0,,23.0,[1.0],,5
226,226-East Africa.txt,12,13.0,27.0,11.0,24.0,11.0,27.0,3.0,,14.0,[1.0],,0
227,227-Sudan.txt,12,5.0,21.0,23.0,38.0,5.0,38.0,18.0,,17.0,[1.0],YES,0
228,228-Congo.txt,12,19.0,32.0,18.0,30.0,18.0,32.0,1.5,,14.0,[1.0],,0
229,229-Nigeria.txt,12,19.0,33.0,18.0,31.0,18.0,37.0,5.0,,15.0,[1.0],,0
230,230-Tehran.txt,12,-4.0,13.0,24.0,37.0,-4.0,37.0,26.0,,18.0,[1.0],,3
231,231-Niger.txt,12,5.0,21.0,23.0,38.0,5.0,38.0,18.0,,17.0,[1.0],YES,0
232,232-Tibet.txt,12,-22.0,-7.0,2.0,15.0,-22.0,15.0,23.0,,15.0,[0.0],,4
233,233-Isfahan.txt,12,-4.0,13.0,24.0,37.0,-4.0,37.0,26.0,,18.0,[1.0],,3
234,234-Persian Gulf.txt,0,,,,,,,,,,,,
